,Station name,location,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport
76,Mira Road,"(19.2816975, 72.8560676)",2.0,2.0,0.0,13.0,1.0,4.0,4.0,4.0,4.0,7.0
77,Mumbai Central,"(18.9695855, 72.8193152)",2.0,3.0,0.0,39.0,5.0,4.0,35.0,19.0,17.0,13.0
78,Mulund,"(19.1722904, 72.9564695)",4.0,9.0,0.0,36.0,11.0,7.0,17.0,5.0,17.0,2.0
79,Mumbra,"(19.1899425, 73.0230752)",2.0,1.0,0.0,3.0,0.0,5.0,5.0,1.0,3.0,1.0
80,Nahur,"(19.1543618, 72.9464735)",1.0,0.0,0.0,6.0,5.0,6.0,10.0,6.0,9.0,2.0
81,Naigaon,"(20.787829, 79.589794)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,Nallasopara,"(19.4188363, 72.8256898)",2.0,3.0,0.0,5.0,1.0,11.0,5.0,3.0,10.0,5.0
83,Neral,"(19.0274308, 73.3184369)",0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0
84,Nerul,"(19.033611800000003, 73.01813957492513)",5.0,9.0,0.0,24.0,5.0,4.0,11.0,3.0,13.0,4.0
85,Navade Road,"(19.053846, 73.1030296)",0.0,0.0,0.0,1.0,0.0,3.0,4.0,1.0,1.0,0.0
86,Nhava Sheva,"(18.9461995, 72.95031154854297)",0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0
87,Nilaje,"(19.1545761, 73.0802554)",1.0,0.0,0.0,8.0,0.0,1.0,4.0,6.0,2.0,1.0
88,Palghar,"(19.68086385, 72.82537342511341)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,Panvel,"(18.96558885, 73.10288130582491)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,Parel,"(19.0094817, 72.8376614)",9.0,10.0,2.0,36.0,7.0,4.0,37.0,12.0,22.0,5.0
91,Rabale,"(19.1366366, 73.00278067582235)",0.0,0.0,1.0,5.0,2.0,2.0,7.0,3.0,0.0,4.0
92,Ram Mandir,"(19.151023, 72.8501467)",6.0,3.0,4.0,18.0,4.0,4.0,40.0,8.0,6.0,4.0
93,Roha,"(18.4468606, 73.13868829070498)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,Sagar Sangam,"(19.0083605, 73.021779)",1.0,4.0,0.0,6.0,2.0,9.0,4.0,3.0,4.0,3.0
95,Sandhurst Road,"(18.9609243, 72.8393719)",5.0,1.0,2.0,30.0,7.0,4.0,29.0,8.0,13.0,5.0
96,Sanpada,"(19.06597735, 73.00953290144423)",3.0,5.0,0.0,28.0,7.0,5.0,8.0,12.0,37.0,7.0
97,Santacruz,"(19.0815223, 72.8417565)",8.0,5.0,0.0,41.0,7.0,14.0,32.0,1.0,52.0,15.0
98,Seawoods–Darave,"(19.0221923, 73.01873756602905)",8.0,5.0,0.0,20.0,5.0,7.0,5.0,10.0,14.0,4.0
99,Saphale,"(19.5771316, 72.8218812)",0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,3.0,1.0
100,Sion,"(19.0465213, 72.8632834)",6.0,5.0,0.0,25.0,5.0,6.0,11.0,6.0,11.0,11.0
101,Shahad,"(19.2458783, 73.1573918)",0.0,4.0,0.0,4.0,1.0,3.0,5.0,3.0,4.0,2.0
102,Shelu,"(20.3708363, 77.2480043)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,Thansit,"(19.5502698, 73.352282)",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
104,Targhar,"(18.9920191, 73.0384519)",0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,0.0,0.0
105,Thane,"(19.1872787, 72.97734732395253)",7.0,13.0,1.0,22.0,4.0,5.0,10.0,10.0,21.0,5.0
106,Thakurli,"(19.2255622, 73.0968165)",1.0,1.0,0.0,8.0,2.0,2.0,3.0,2.0,10.0,2.0
107,Titwala,"(19.2948464, 73.2051012)",0.0,1.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0
